dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.632234,2.086847,3.481004,1.870932,-1.605272,-0.850144,1.345048
0.020000,2.640261,2.122731,3.517775,1.838550,-1.619118,-0.692266,1.356321
0.020000,2.647757,2.158062,3.553892,1.805847,-1.635136,-0.800918,1.367138
0.020000,2.654747,2.192823,3.589349,1.772862,-1.649289,-0.707663,1.377517
0.020000,2.661259,2.227000,3.624142,1.739611,-1.662530,-0.662054,1.387476
0.020000,2.667318,2.260580,3.658264,1.706096,-1.675750,-0.660959,1.397032
0.020000,2.672949,2.293549,3.691710,1.672317,-1.688961,-0.660572,1.406199
0.020000,2.678176,2.325896,3.724476,1.638311,-1.700282,-0.566058,1.414995
0.020000,2.683020,2.357609,3.756557,1.604057,-1.712710,-0.621418,1.423432
0.020000,2.687503,2.388679,3.787949,1.569606,-1.722539,-0.491429,1.431526
0.020000,2.691646,2.419096,3.818647,1.534901,-1.735262,-0.636141,1.439288
0.020000,2.695469,2.448853,3.848648,1.500040,-1.743045,-0.389164,1.446733
0.020000,2.698990,2.477940,3.877948,1.464969,-1.753562,-0.525856,1.453871
0.020000,2.702229,2.506350,3.906542,1.429702,-1.763344,-0.489076,1.460714
0.020000,2.705201,2.534077,3.934428,1.394320,-1.769092,-0.287401,1.467274
0.020000,2.707924,2.561115,3.961602,1.358720,-1.780018,-0.546328,1.473559
0.020000,2.710413,2.587457,3.988062,1.322979,-1.787026,-0.350391,1.479580
0.020000,2.712684,2.613099,4.013804,1.287113,-1.793304,-0.313879,1.485347
0.020000,2.714751,2.638035,4.038826,1.251080,-1.801676,-0.418605,1.490867
0.020000,2.716627,2.662261,4.063124,1.214921,-1.807925,-0.312445,1.496149
0.020000,2.718325,2.685773,4.086698,1.178676,-1.812270,-0.217247,1.501201
0.020000,2.719859,2.708567,4.109543,1.142278,-1.819860,-0.379512,1.506030
0.020000,2.721239,2.730639,4.131659,1.105761,-1.825895,-0.301775,1.510643
0.020000,2.722477,2.751987,4.153042,1.069169,-1.829554,-0.182918,1.515047
0.020000,2.723585,2.772607,4.173691,1.032469,-1.835010,-0.272826,1.519247
0.020000,2.724571,2.792495,4.193604,0.995639,-1.841531,-0.326052,1.523251
0.020000,2.725446,2.811651,4.212780,0.958803,-1.841778,-0.012321,1.527062
0.020000,2.726218,2.830071,4.231216,0.921788,-1.850774,-0.449813,1.530687
0.020000,2.726897,2.847753,4.248911,0.884768,-1.851001,-0.011350,1.534131
0.020000,2.727491,2.864695,4.265864,0.847651,-1.855847,-0.242324,1.537397
