dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.966668,1.160733,3.498897,3.045693,-2.598623,-0.045208,1.086420
0.020000,2.993983,1.214014,3.558772,2.993742,-2.597559,0.053198,1.107675
0.020000,3.019725,1.266921,3.617609,2.941846,-2.594837,0.136068,1.128177
0.020000,3.043963,1.319397,3.675412,2.890143,-2.585149,0.484413,1.147937
0.020000,3.066766,1.371388,3.732184,2.838618,-2.576224,0.446281,1.166965
0.020000,3.088199,1.422850,3.787931,2.787337,-2.564066,0.607896,1.185279
0.020000,3.108330,1.473740,3.842657,2.736327,-2.550495,0.678507,1.202894
0.020000,3.127221,1.524020,3.896370,2.685620,-2.535338,0.757872,1.219829
0.020000,3.144936,1.573658,3.949073,2.635195,-2.521248,0.704497,1.236103
0.020000,3.161536,1.622622,4.000775,2.585100,-2.504777,0.823570,1.251738
0.020000,3.177078,1.670889,4.051483,2.535381,-2.485949,0.941391,1.266755
0.020000,3.191619,1.718435,4.101202,2.485952,-2.471411,0.726898,1.281174
0.020000,3.205214,1.765238,4.149940,2.436893,-2.452985,0.921284,1.295018
0.020000,3.217913,1.811282,4.197703,2.388166,-2.436310,0.833783,1.308306
0.020000,3.229766,1.856551,4.244498,2.339752,-2.420722,0.779375,1.321061
0.020000,3.240821,1.901032,4.290332,2.291681,-2.403553,0.858449,1.333301
0.020000,3.251122,1.944711,4.335210,2.243897,-2.389195,0.717882,1.345048
0.020000,3.260712,1.987581,4.379139,2.196456,-2.372054,0.857061,1.356321
0.020000,3.269633,2.029631,4.422125,2.149284,-2.358612,0.672102,1.367138
0.020000,3.277923,2.070853,4.464173,2.102402,-2.344092,0.726020,1.377517
0.020000,3.285619,2.111243,4.505289,2.055808,-2.329686,0.720298,1.387476
0.020000,3.292756,2.150794,4.545478,2.009479,-2.316469,0.660829,1.397032
0.020000,3.299367,2.189501,4.584746,1.963390,-2.304454,0.600747,1.406199
0.020000,3.305484,2.227361,4.623097,1.917561,-2.291426,0.651430,1.414995
0.020000,3.311137,2.264371,4.660536,1.871944,-2.280885,0.527043,1.423432
